CaseID,Q14,CODE,"OE15 - What are some of the reasons you favor placing a limit on the amount of non-economic damages that a jury may award? Again, these are damages that you cannot quantify by bills or receipts such as pain, suffering, and emotional distress."
37,Str Fav, ,i dont think you should put a limit on it. this is a crazy question. i dont think people should be able to sue so easily.
40,Str Fav, ,"disproporiante: especially if costs other people money, such as a taxpayer. makes companies too defensive"
47,Str Fav, ,"there's no way to quantify it my thing is that apparently right is a lung, my pain right now is very low compared to somebody else in the hopitasl and its 140% the pain they're in and so i would say somewhat, well part of it is my family is a lawyer and im looking at a great percenatge of that and if the lawyer says whatever lets say 50,000 and he's a wealthy million dollar thing, he has half of that to have done greater, you know, the company likes it the end of the year and back to the federal government, thats about it really i wpuld say me personally is im a lover and not going to sue the state of new zealand"
53,Str Fav, ,I think it's okay to have the insurance companies pay for them but their needs to be a limit because it increases other people's premiums and prices.
61,Str Fav, ,I dont know. I depends  on the laymr. Some are worthy some are frivolous. Go ahead
62,Str Fav, ,Numbers are too high. The dollars should not immediately secure financial freedom for the rest of the victim's life. I'll leave it at that
63,Str Fav, ,For instance if the damages are not actually the right amount then there is no reason to give it to that person. Like a car insurance company and the damages match the damage so everyone gets a fair amount. No that would be all
73,Str Fav, ,"They are not equitable to anything, the corporations dont pay enough as they should and  people dont get enough money."
83,Str Fav, ,Placing a limit on it would insure that the benefit to the plaintiff isn't going to be too high above and beyond for them to recover from the incident.
84,Str Fav, ,"i think its too subjective, i think that um you should be able to quantify what those damages are and there should be a number associated with those damages, thats all"
96,Str Fav, ,"I don't think we should be a sue for it to begin with. I dont think it should be a thing. That's why we call them accidents. Well, I don't think it is right if it is an accident. Nope"
99,Str Fav, ,Because I feel juries have awarded unreasonabily high awards.
100,Str Fav, ,"thats the biggest problem, there is no price tag for when you have an an accident, someone who is a careless driver , causes the victim to have bad mental issues which is worse than any money. the money doesnt mean anything when you end up worse mentally."
113,Str Fav, ,because i feel like people take advtanage of free situations and basically try to milk the system if someone orders cofee then they'll sue the company then thats taking advantage i think people will sue just to get a free ride no cause i never file one so i really dont know other than what i hear just my personal opinion.
192,Str Fav, ,Some of the awards are crazy. The amount of the rewards are out of whack
257,Str Fav, ,"I believe that in some instances it has been over utilized.  That's it for now. I am not able to provide any instances    at this time. Oh, Youtube paying 24 million dollars to Trump.   It was for their remarks about January 6th. I'm guessing it was from people on Youtube.  Youtube didn't take it down when Trump complained."
268,Str Fav, ,the people use it for finacial gain..Onlty reason I can think of
271,Str Fav, ,I believe they are too subjective there's no criteria fo t this mental anguish this amount is the proper amount. I'm not sure I don't have a good answer for that. no
294,Str Fav, ,I feel that the judgements awarded are excessive in many cases and it depends on the expertise of the lawyer representing the plantifs. In what I have read and what I have seen among people I know there doesnt seem to be a consideration of who this person is or a realistic look at the person as to what is awarded.
312,Str Fav, ,Because u cannot put a limit on those items
396,Str Fav, ,I think it is over used. People say things that are not true so they can get a lot more money.
420,Str Fav, ,Well because someone would get screwed over. It's an inbalance so there needs to be some type of regulation. Stop screwing people over. Well you got somebody that might be injured or damages for something whether it's bodily or whatever and the insurance company ends up dropping you altogether on your insurance filing and claims and then you're just stuck in court fees and everything else. The compensation isn't there that's fair. I hate all of it. That's it.
447,Str Fav, ,"They are out of control. They're, some of them are ridiculous. I've seen it in the newspaper, I've seen it on TV, I've heard it on the radio. Some of the amounts of the awards have been ridiculous. I mean you got people making more off that than they would have it they worked the rest of their life. It's stupid. I haven't categorized it, but I just listened to it some fifty year old guy got three million dollars and he's out walking around. And, I had one, but anyhow it's just crazy stuff. I don't keep up with the specifics of it but I think the jurors think if they don't pay it the insurance is just going to pay it so I'm going to give them a big one. It's just ridiculous."
460,Str Fav, ,Because I think that becomes an emotional issue for the jury rather than anything that is practical or reasonable. I thonk because there is too widly avialble amounts for the same type of thing. People can greatly exagerate the amount of emotional damage they are expereincing. I think there should be a limit on that. No that's it
472,Str Fav, ,"Well, that goes back to, I know every circumstance is probably different but nowadays I feel like people will try to get whatever they can wether or not they deserve, it that's probably one of the main reasons.  I can't see someone suing somebody to take everything from somebody and put them in the poor house, there should be a national limit so everyone is playing on the same field.  No, that's about it I guess."
501,Str Fav, ,"Because some people are out there looking for someone sue. Like they dont really get hurt but they play it off like they did. Theres a lot of people who get in a car wreck and they claim that their neck hurts and their back hurts and if they gave it a little bit of time it would probably go away. Depends on how bad the accident was, of course. Nothing."
511,Str Fav, ,that one's kinda hard. Because the people that get the award get piddle compared to what the attorneys get. No other reason. Because it's a money making deal for attorneys. No more.
522,Str Fav, ,"I just feel like it should be capped off at a certain amount. I don't think it should be an ongoin thing with an amount set because it's not like losing a person. You know what I mean. You're still on this Earth. You can go to therapy for that. I feel like if anything emotional you can get help for it. I can't think right now. I don't know. I just feel ike pain and suffering is, you know. I think it should be capped off. I can't find another reason."
554,Str Fav, ,Sometimes people get crazy and want more than they are worth. I do not know. I just know that most lawsuits are usually frivolous. People are just greedy. That is my opinion. That's it.
556,Str Fav, ,"I would say because of how case-by-case it could be; variation depending on the lawyers, jury, so if there was a cap it could provide some structure instead of being any number at all."
557,Str Fav, ,"And that's the main reason, because you never know what a family is going through or that individual. Yeah, because sometime it can go way too high. Cause what if you go so high you take that company out of business. Yes, I mean it's more than one person that they might have to serve. You have to think of that too. It might help pretty much with damage on it, as an economical hole, as far as the. What limits they might see, as far as taking taxes, as far as our money going someplace else. If you working for the company, but if you don't have individual involvement in it, it shouldn't affect you at all. I mean you're paying taxes anyway, what is your tax money g"
579,Str Fav, ,"I would actually be in favor of the increase, just because I feel like when it comes to something like that, it shouldn't be a cap. It should be based on circumstances and then decide. Just making sure the, whoever the plaintiff, or whoever's been affected in a negative way, they get what they deserve. Even though it's monetary, there shouldn't be a cap when it comes to their suffering. Like I said it should just balance out. I do not know, wrongful death, it shouldn't really be a cap. There's no value on circumstances like that. Especially something where it affects how they live, their lifestyle. They can't move around, or do what they're accustomed to doing. There should"
583,Str Fav, ,"I just basically see how people get a crazy amount of money for nothing. It's just, I see quite a few people, I know a few personally, and they just waste the money when they get it. It's not right. It doesn't help anyone. No."
612,Str Fav, ,"Well I think the very fact that you cannot pay aprice tag on things.  If I am suffering emotionally for somethins, is 50 million dollars going to make it go away? No.  I do not think an excessive amount of money is going to fix any emotional or traumatic impact."
636,Str Fav, ,"Greed. People are greedy. People are sue happy anymore. I feel everybody has their palm out and expects to get a payday. I think society has gotten too sue happy. It needs to be limited. Everybody feels like they can sue everybody for everything, and it almost seems like they can anymore. I am generally a negative person, so I will leave it at that."
680,Str Fav, ,"Because if somehting is done wrong and then they guive someone 200 million dollars because of something. And that usually comes from somewhere, and most of the time it comes from honest people. That falls on docotors as well, where they fear having their license taken away and losing their 15 year education. If you just take someone's life time salary, and times it a couple times would work. Like times it by 5. Why is it the poor people, usually sue for more."
691,Str Fav, ,Because its gotten ridiculous too many people suing. Too mnay commercials telling peolpe they can get a lot of money. lawyers benefit the most. thats it
696,Str Fav, ,"One reason would be that, some of these lawsuits are frivolous. For stupid things, for example tags on a hair dryer that say, 'don't use in the shower.' I don't think people's stupidity should be awarded. I think the excessive awarded amount is a big one. There was a case in Washington that the guy died and they awarded sixty to seventy million dollars. The estate was awarded. If you have to do the math, if he worked from the beginning to retirement, he never would have made that. That's a couple reasons."
744,Str Fav, ,Because they can't be quantified because the civil system because it's not a criminal punishment and the standards of evidence are a lot lower it's a lot easier for juries to punish disfavored groups and defendants. That's about it.
761,Str Fav, ,"I think a lot of these non-economic ones are overrated. Personally, I think people get their feelings hurt too fast. People are just too sensitive. I think that people, I think there just too many people that complain about anything and everything. Somebody hurts their feelings, they are ready to sue them. I see it all the time on the news. People, they just can not, if somebody disagrees with them, they are ready to file a lawsuit against them, or shoot them, or something. Too much violence. I am definitely big on freedom of speech, so I think that they need to, within limits. Freedom of speech should not include violence, inciting riots or anything."
765,Str Fav, ,"It seems like the escalating amount the people are getting mean that businesses have to pay out more,pay out more for insurance,costs consumers more.The more the company pays out,they may go bankrupt,so we're losing busineses.I think that's about all I go.I think that's it."
100029,Str Fav, ,I think people and lawyers are greedy opportunists
100034,Str Fav, ,Lawyers get ghe majority
100053,Str Fav, ,There are no rules it is just based on histrionics
100066,Str Fav, ,"Because each person is uniquely different, opinion based judgments are outright wrong."
100072,Str Fav, ,People who are victims deserve compensation
100080,Str Fav, ,Many people lie about the pain and don’t really want to work
100083,Str Fav, ,Most people are looking for a payout. Everyone has pain and suffering some how.
100089,Str Fav, ,Currently seems like it’s being abused
100102,Str Fav, ,Drives insurance rated up and just makes money for lawyers on both sides
100117,Str Fav, ,Misread previous question. I do not favor a limit on this. Limiting this reduces accountability.
29,Smwt Fav, ,I don't know.
45,Smwt Fav, ,I think it is understandable but people sometimes take advantage of it. They are getting money from a lawsuit and I feel like they are making up things to get more money. That is it.
67,Smwt Fav, ,To much abuse in the awards
82,Smwt Fav, ,"there needs to be a limit, not limitless."
